coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,data_time,time,step
0.032,0.151,0.004,-1.0,-1.0,0.032,0.30820863897150214,0.3503443544561213,5.0
0.259,0.829,0.076,-1.0,-1.0,0.259,0.30016064643859863,0.3312588930130005,10.0
0.344,0.786,0.191,-1.0,-1.0,0.344,0.30269614855448407,0.3279135425885518,15.0
0.254,0.704,0.125,-1.0,-1.0,0.254,0.3022471070289612,0.32756590843200684,20.0
0.384,0.94,0.208,-1.0,-1.0,0.384,0.30225350459416706,0.32747799158096313,25.0
0.6,0.936,0.792,-1.0,-1.0,0.6,0.30076074600219727,0.32719671726226807,30.0
0.597,0.934,0.783,-1.0,-1.0,0.597,0.3003597855567932,0.3281212051709493,35.0
0.595,0.961,0.645,-1.0,-1.0,0.595,0.30056095123291016,0.3246747652689616,40.0
0.671,0.895,0.865,-1.0,-1.0,0.671,0.30310652653376263,0.3281889756520589,45.0
0.608,0.954,0.824,-1.0,-1.0,0.608,0.3002328872680664,0.3265504439671834,50.0
0.556,0.964,0.571,-1.0,-1.0,0.556,0.30459529161453247,0.3306559721628825,55.0
0.62,0.959,0.75,-1.0,-1.0,0.62,0.3019755283991496,0.32773178815841675,60.0
0.695,0.969,0.845,-1.0,-1.0,0.695,0.3028838833173116,0.32813968261082965,65.0
0.711,0.963,0.823,-1.0,-1.0,0.711,0.3024400273958842,0.32874764998753864,70.0
0.713,0.97,0.904,-1.0,-1.0,0.713,0.3032471537590027,0.3290104071299235,75.0
0.769,0.962,0.962,-1.0,-1.0,0.769,0.3024222056070964,0.3296350836753845,80.0
0.697,0.949,0.949,-1.0,-1.0,0.697,0.3025561571121216,0.32907768090566,85.0
0.779,0.967,0.967,-1.0,-1.0,0.779,0.3012060523033142,0.32892851034800213,90.0
0.746,0.968,0.947,-1.0,-1.0,0.746,0.30014216899871826,0.3254503011703491,95.0
0.731,0.969,0.969,-1.0,-1.0,0.731,0.2995230555534363,0.3251894911130269,100.0
0.756,0.952,0.952,-1.0,-1.0,0.756,0.30139219760894775,0.3260844548543294,105.0
